attribute,example,TEM default,miniTEM-T1 default,miniTEM-T2 default,SEM default,AFM default,SP-ICP-MS default,TRPS default,PTA default,sprayDEMA default,AC-turb default,AC-RI default,AF4-MALS default,DLS default,ALS default,SAXS default,USSP default,XRD default,BET default
disclaimer,This is an example disclaimer.,,Tier 1 if generic SOPs for sample preparation and image evaluation are used. ,Performance comparable to standard TEM (Tier 2) if sample preparation and image evaluation is optimised for each material.,,,,,,,,,,,,,,,"This measurement technique may not yield reliable results if the material to be analysed shows porous properties or severe states of aggregation/agglomeration. As per the updated EC nanomaterial definition recommendation, the particle type shape is no longer a crucial criterion for the analysis. A VSSA < 6 will result in a non-nanomaterial decision while a VSSA above or equal to this threshold suggests a potential nanomaterial for which further analysis is suggested."
multiconstituent,"no = No
yes = Yes",yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes
specific_technique,"{} = None
{counting} = Single particle counting
{counting,spectroscopic,fractionating,integral} = All",{counting},{counting},{counting},{counting},{counting},{counting},{counting},{counting},{fractionating},{fractionating},{fractionating},{fractionating},{spectroscopic},{spectroscopic},{spectroscopic},{spectroscopic},{integral},{integral}
wr_size_range,"[1,100] = 1nm - 100nm
[4.5,2000] = 4.5nm - 2µm","[1,1000000]","[5,1000]","[5,1000]","[7,1000000]","[1,10000]","[15,1000]","[50,10000]","[10,1000]","[2,1000]","[1,10000]","[1,10000]","[3,1000]","[3,5000]","[80,10000000]","[1,100]","[10,100000]","[5,200]","[1,10000]"
wr_concentration_range_type,"Either: mass_fraction
Or: mass
Or: volume
Or: number ",*,*,*,*,*,mass,number,number,number,volume,volume,mass,volume,volume,volume,volume,*,*
wr_concentration_range,"If mass_fraction: [0.01,0.02] = 0.01 - 0.02 g/g
If mass: [1.0,2.0] = 1 - 2 µg/µl
If volume: [0.05,0.06] = 0.05 - 0.06 µl/µl
If number: [1000,2000] = 1000 - 2000 particles/µl",*,*,*,*,*,"[0.000000001,0.000001]","[100,1000000000]","[10000,1000000]","[10,1000]","[0.000001,0.003]","[0.000001,0.003]","[0.00002,0.5]","[0.0000001,0.003]","[0.000001,0.001]","[0.0001,0.7]","[0.02,0.7]",*,*
wr_minimum_sample_type,"Either: mass
Or: volume
Or: number",number,number,number,number,number,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,mass,mass
wr_minimum_sample,"If mass: [1.0,2.0] = 1 - 2 µg
If volume: [1.0,2.0] = 1 - 2 µl
If number: [1000,2000] = 1000 - 2000 particles","[1000,1000]","[1000,1000]","[1000,1000]","[1000,1000]","[1000,1000]","[5000,50000]","[500,500]","[1000,10000]","[1000,10000]","[100,1000]","[100,1000]","[10,10]","[100,2000]","[10,50000]","[1,100]","[1000,100000]","[100000,100000]","[100000,100000]"
wr_linear_proportional_size,"no = No
yes = Yes",yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes
wr_linear_proportional_concentration,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
